#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
48	1	1	0.82	0.19	26.80	17.19	16.19
49	1	0	0.90	0.16	26.51	28.57	26.63
50	1	1	0.93	0.28	27.57	29.45	27.37
51	1	1	0.90	0.23	27.08	29.92	28.02
52	1	1	0.81	0.04	25.52	26.61	24.83
53	4	0	0.85	-0.32	22.54	14.85	14.35
54	4	0	0.87	-0.49	21.06	11.93	11.39
55	4	1	0.88	-0.46	21.35	9.71	9.55
56	4	0	0.88	-0.54	20.68	9.87	9.60
57	4	0	0.88	-0.40	21.85	11.72	11.43
58	4	1	0.88	-0.09	24.47	10.65	10.49
59	1	1	0.71	0.17	26.63	18.84	17.59
60	1	1	0.72	0.19	26.77	17.30	16.18
61	1	0	0.68	0.23	27.15	21.96	20.63
62	1	1	0.67	0.40	28.51	23.72	22.20
63	1	1	0.72	0.44	28.86	28.68	26.82
64	1	1	0.82	0.43	28.83	28.38	26.39
65	1	1	0.88	0.53	29.64	32.08	29.92
66	1	1	0.89	0.26	27.33	28.98	27.24
67	1	0	0.89	0.03	25.42	25.14	23.60
68	1	1	0.88	-0.04	24.81	21.33	19.85
69	1	1	0.87	-0.02	24.98	16.04	15.07
70	1	0	0.89	-0.25	23.07	13.30	12.44
71	4	0	0.90	-0.43	21.55	7.15	6.95
72	4	0	0.93	-0.58	20.33	1.87	2.03
73	4	0	0.92	-0.55	20.56	4.67	4.93
74	1	0	0.88	-0.26	23.04	12.92	12.20
75	1	0	0.89	0.04	25.52	22.49	21.09
76	1	1	0.88	0.41	28.63	25.29	23.50
77	1	1	0.87	0.66	30.76	26.91	25.07
78	1	1	0.87	0.69	31.01	28.20	26.33
79	1	1	0.83	0.53	29.60	25.13	23.49
80	1	1	0.82	0.18	26.67	19.06	17.78
81	4	0	0.75	-0.14	24.00	15.02	14.29
82	4	1	0.92	-0.12	24.21	11.02	10.65
83	4	1	0.93	-0.28	22.85	8.33	8.09
84	4	0	0.94	-0.32	22.53	5.55	5.52
85	4	0	0.94	-0.24	23.17	7.45	7.16
86	4	1	0.91	-0.02	25.03	13.06	12.36
87	1	1	0.90	0.19	26.78	15.38	14.44
88	1	1	0.86	0.35	28.14	10.64	10.02
89	1	1	0.85	0.32	27.85	10.99	10.62
90	1	1	0.87	0.44	28.84	11.61	11.12
91	1	1	0.81	0.28	27.50	10.15	9.85
92	2	0	0.75	0.06	25.73	6.48	6.21
93	2	1	0.78	0.12	26.22	7.36	7.00
94	2	1	0.81	0.00	25.19	7.71	7.28
95	2	0	0.89	-0.19	23.59	7.34	6.88
96	2	1	0.83	0.03	25.48	7.83	7.51
97	2	1	0.87	0.15	26.43	8.05	7.64
98	2	1	0.81	0.15	26.48	8.24	7.93
99	2	0	0.78	0.06	25.67	8.38	8.00
100	2	1	0.79	0.25	27.32	6.37	6.27
101	2	1	0.79	0.20	26.87	5.63	5.42
102	2	1	0.81	0.14	26.40	5.14	4.91
103	2	1	0.77	0.29	27.60	3.40	3.51
104	1	1	0.75	0.31	27.79	4.46	4.63
105	1	1	0.80	0.21	26.94	4.69	4.84
106	2	0	0.81	-0.09	24.46	5.17	4.86
107	2	1	0.74	-0.09	24.43	8.47	7.99
108	2	0	0.88	-0.27	22.89	7.79	7.50
109	4	0	0.87	-0.46	21.32	5.27	5.51
110	4	0	0.88	-0.33	22.46	6.84	6.69
111	4	1	0.92	-0.17	23.73	11.15	10.63
112	1	1	0.83	0.06	25.70	13.22	12.62
113	1	1	0.82	0.19	26.77	14.32	13.44
114	1	1	0.82	0.24	27.18	12.71	12.13
115	1	1	0.88	0.16	26.54	14.84	14.03
116	1	0	0.86	-0.01	25.09	15.20	14.53
117	1	0	0.82	-0.18	23.65	17.18	16.33
118	1	0	0.78	-0.20	23.49	18.21	17.46
119	1	1	0.64	-0.20	23.50	17.96	17.00
120	1	0	0.64	-0.17	23.75	16.38	15.76
121	1	1	0.84	0.02	25.38	9.61	9.13
122	1	1	0.87	0.02	25.39	4.38	4.26
123	1	1	0.85	0.01	25.26	4.33	4.37
124	4	0	0.83	-0.22	23.37	8.09	7.83
125	4	1	0.86	-0.25	23.07	10.82	10.48
126	4	0	0.83	-0.30	22.71	14.52	13.79
127	4	1	0.81	-0.20	23.47	17.49	16.61
128	4	1	0.78	0.08	25.85	20.68	19.42
129	1	1	0.69	0.35	28.13	24.52	23.12
130	1	1	0.71	0.80	31.92	29.82	27.90
131	1	1	0.72	1.06	34.12	32.27	30.09
132	1	1	0.70	1.55	38.20	28.89	26.98
133	1	1	0.63	2.21	43.73	10.00	9.78
