#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
94	2	1	0.81	0.00	25.19	3.92	3.75
95	2	0	0.89	-0.19	23.59	4.28	4.11
96	2	1	0.83	0.03	25.48	5.42	5.13
97	2	1	0.87	0.15	26.43	5.89	5.57
98	2	1	0.81	0.15	26.48	6.00	5.92
99	2	0	0.78	0.06	25.67	7.29	7.11
100	2	1	0.79	0.25	27.32	7.06	6.91
101	2	1	0.79	0.20	26.87	6.02	5.85
102	2	1	0.81	0.14	26.40	5.54	5.31
103	2	1	0.77	0.29	27.60	5.14	5.10
104	1	1	0.75	0.31	27.79	2.48	2.77
105	1	1	0.80	0.21	26.94	8.82	8.65
106	2	0	0.81	-0.09	24.46	5.93	5.57
107	2	1	0.74	-0.09	24.43	9.56	9.13
108	2	0	0.88	-0.27	22.89	11.87	11.27
109	4	0	0.87	-0.46	21.32	8.55	8.55
110	4	0	0.88	-0.33	22.46	5.92	6.05
111	4	1	0.92	-0.17	23.73	9.10	8.88
112	1	1	0.83	0.06	25.70	2.44	2.71
113	1	1	0.82	0.19	26.77	3.91	4.00
114	1	1	0.82	0.24	27.18	6.25	6.18
115	1	1	0.88	0.16	26.54	16.41	15.42
116	1	0	0.86	-0.01	25.09	14.05	13.46
117	1	0	0.82	-0.18	23.65	15.46	14.76
118	1	0	0.78	-0.20	23.49	15.37	14.79
119	1	1	0.64	-0.20	23.50	14.10	13.43
120	1	0	0.64	-0.17	23.75	12.43	12.07
121	1	1	0.84	0.02	25.38	9.05	8.52
122	1	1	0.87	0.02	25.39	4.66	4.51
123	1	1	0.85	0.01	25.26	4.01	4.03
124	4	0	0.83	-0.22	23.37	6.18	6.05
125	4	1	0.86	-0.25	23.07	7.90	7.76
126	4	0	0.83	-0.30	22.71	13.73	13.13
127	4	1	0.81	-0.20	23.47	15.62	14.89
128	4	1	0.78	0.08	25.85	19.27	18.29
129	1	1	0.69	0.35	28.13	22.45	21.08
130	1	1	0.71	0.80	31.92	25.02	23.39
131	1	1	0.72	1.06	34.12	27.01	25.35
132	1	1	0.70	1.55	38.20	27.36	25.66
133	1	1	0.63	2.21	43.73	25.69	24.27
