#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
53	4	0	0.85	-0.32	22.54	22.69	21.40
54	4	0	0.87	-0.49	21.06	18.21	17.25
55	4	1	0.88	-0.46	21.35	14.81	14.28
56	4	0	0.88	-0.54	20.68	16.12	15.39
57	4	0	0.88	-0.40	21.85	15.83	15.03
58	4	1	0.88	-0.09	24.47	16.50	15.87
59	1	1	0.71	0.17	26.63	19.92	18.64
60	1	1	0.72	0.19	26.77	18.42	17.27
61	1	0	0.68	0.23	27.15	17.96	16.93
62	1	1	0.67	0.40	28.51	19.82	18.58
63	1	1	0.72	0.44	28.86	25.88	24.25
64	1	1	0.82	0.43	28.83	25.72	23.96
65	1	1	0.88	0.53	29.64	28.85	26.92
66	1	1	0.89	0.26	27.33	26.80	25.23
67	1	0	0.89	0.03	25.42	22.62	21.31
68	1	1	0.88	-0.04	24.81	18.40	17.15
69	1	1	0.87	-0.02	24.98	13.95	13.22
70	1	0	0.89	-0.25	23.07	11.12	10.42
71	4	0	0.90	-0.43	21.55	10.16	9.78
72	4	0	0.93	-0.58	20.33	6.59	6.46
73	4	0	0.92	-0.55	20.56	9.14	9.11
74	1	0	0.88	-0.26	23.04	12.16	11.46
75	1	0	0.89	0.04	25.52	17.20	16.20
76	1	1	0.88	0.41	28.63	19.33	18.02
77	1	1	0.87	0.66	30.76	23.16	21.65
78	1	1	0.87	0.69	31.01	23.86	22.27
79	1	1	0.83	0.53	29.60	20.81	19.36
80	1	1	0.82	0.18	26.67	17.61	16.46
81	4	0	0.75	-0.14	24.00	13.37	12.74
82	4	1	0.92	-0.12	24.21	11.74	11.36
83	4	1	0.93	-0.28	22.85	8.47	8.06
84	4	0	0.94	-0.32	22.53	5.95	6.06
85	4	0	0.94	-0.24	23.17	5.85	5.62
86	4	1	0.91	-0.02	25.03	9.54	9.12
87	1	1	0.90	0.19	26.78	11.54	10.89
88	1	1	0.86	0.35	28.14	2.40	2.36
89	1	1	0.85	0.32	27.85	2.47	2.74
90	1	1	0.87	0.44	28.84	3.00	3.19
91	1	1	0.81	0.28	27.50	3.32	3.58
92	2	0	0.75	0.06	25.73	2.89	2.84
93	2	1	0.78	0.12	26.22	3.61	3.58
94	2	1	0.81	0.00	25.19	3.80	3.67
95	2	0	0.89	-0.19	23.59	3.69	3.60
96	2	1	0.83	0.03	25.48	4.69	4.62
97	2	1	0.87	0.15	26.43	5.29	5.04
98	2	1	0.81	0.15	26.48	5.35	5.32
99	2	0	0.78	0.06	25.67	6.37	6.10
100	2	1	0.79	0.25	27.32	6.17	6.14
101	2	1	0.79	0.20	26.87	5.08	4.88
102	2	1	0.81	0.14	26.40	4.57	4.51
103	2	1	0.77	0.29	27.60	4.64	4.68
104	1	1	0.75	0.31	27.79	2.06	2.51
105	1	1	0.80	0.21	26.94	7.07	7.01
106	2	0	0.81	-0.09	24.46	6.74	6.43
107	2	1	0.74	-0.09	24.43	10.11	9.58
108	2	0	0.88	-0.27	22.89	11.48	10.80
109	4	0	0.87	-0.46	21.32	7.59	7.67
110	4	0	0.88	-0.33	22.46	6.55	6.63
111	4	1	0.92	-0.17	23.73	11.16	10.60
112	1	1	0.83	0.06	25.70	11.18	10.71
113	1	1	0.82	0.19	26.77	10.84	10.23
114	1	1	0.82	0.24	27.18	11.74	11.25
115	1	1	0.88	0.16	26.54	17.52	16.37
116	1	0	0.86	-0.01	25.09	14.47	13.85
117	1	0	0.82	-0.18	23.65	14.70	14.02
118	1	0	0.78	-0.20	23.49	14.40	13.69
119	1	1	0.64	-0.20	23.50	12.18	11.62
120	1	0	0.64	-0.17	23.75	11.38	10.92
121	1	1	0.84	0.02	25.38	8.82	8.37
122	1	1	0.87	0.02	25.39	4.69	4.59
123	1	1	0.85	0.01	25.26	4.04	4.04
124	4	0	0.83	-0.22	23.37	6.47	6.34
125	4	1	0.86	-0.25	23.07	8.41	8.22
126	4	0	0.83	-0.30	22.71	14.10	13.44
127	4	1	0.81	-0.20	23.47	15.68	14.94
128	4	1	0.78	0.08	25.85	19.65	18.67
129	1	1	0.69	0.35	28.13	22.56	21.22
130	1	1	0.71	0.80	31.92	25.79	24.19
131	1	1	0.72	1.06	34.12	27.28	25.61
132	1	1	0.70	1.55	38.20	27.30	25.58
133	1	1	0.63	2.21	43.73	29.13	27.45
